dataset;column;timeseries;coltype;timeseries_agg
empfaenger;birthdate;False;feature;
empfaenger;bloodgroup;False;feature;
empfaenger;bloodtransfusion_after_reg;False;feature;
empfaenger;bloodtransfusion_before_reg;False;feature;
empfaenger;children;False;feature;
empfaenger;death_cause;False;followup;
empfaenger;death_date;False;followup;
empfaenger;height_cm;False;feature;
empfaenger;nationality;False;feature;
empfaenger;origin_country;False;feature;
empfaenger;pregnancies;False;feature;
empfaenger;rhesus;False;feature;
empfaenger;sex;False;feature;
empfaenger;weight_kg;False;feature;
empfaenger_dringlichkeit;date;True;feature;range
empfaenger_dringlichkeit;reason;True;metadata;keep
empfaenger_dringlichkeit;waiting_state;True;feature;count
empfaenger_immunologie_acceptable_test;acceptable_test_antigens_acceptable;False;feature;
empfaenger_immunologie_acceptable_test;acceptable_test_enter_date;False;metadata;
empfaenger_immunologie_acceptable_test;acceptable_test_sampling_date;False;metadata;
empfaenger_immunologie_antibody_screening__dtt_crossmatch_nan;antibody_screening__dtt_crossmatch_nan_auto_antibodies;True;feature;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_nan;antibody_screening__dtt_crossmatch_nan_enter_date;True;metadata;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_nan;antibody_screening__dtt_crossmatch_nan_non_cytotoxic_antibodies;False;feature
empfaenger_immunologie_antibody_screening__dtt_crossmatch_nan;antibody_screening__dtt_crossmatch_nan_pra_percent;True;feature;keep
empfaenger_immunologie_antibody_screening__dtt_crossmatch_nan;antibody_screening__dtt_crossmatch_nan_sampling_date;True;metadata;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_nan;antibody_screening__dtt_crossmatch_nan_screening;True;metadata;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_nan;antibody_screening__dtt_crossmatch_nan_specificities;True;feature;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_no;antibody_screening__dtt_crossmatch_no_auto_antibodies;True;feature;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_no;antibody_screening__dtt_crossmatch_no_enter_date;True;metadata;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_no;antibody_screening__dtt_crossmatch_no_non_cytotoxic_antibodies;True;feature;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_no;antibody_screening__dtt_crossmatch_no_pra_percent;True;feature;keep
empfaenger_immunologie_antibody_screening__dtt_crossmatch_no;antibody_screening__dtt_crossmatch_no_sampling_date;True;metadata;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_no;antibody_screening__dtt_crossmatch_no_screening;True;metadata;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_no;antibody_screening__dtt_crossmatch_no_specificities;True;feature;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_yes;antibody_screening__dtt_crossmatch_yes_auto_antibodies;True;feature;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_yes;antibody_screening__dtt_crossmatch_yes_enter_date;True;metadata;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_yes;antibody_screening__dtt_crossmatch_yes_non_cytotoxic_antibodies;False;feature;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_yes;antibody_screening__dtt_crossmatch_yes_pra_percent;True;feature;keep
empfaenger_immunologie_antibody_screening__dtt_crossmatch_yes;antibody_screening__dtt_crossmatch_yes_sampling_date;True;metadata;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_yes;antibody_screening__dtt_crossmatch_yes_screening;True;metadata;latest
empfaenger_immunologie_antibody_screening__dtt_crossmatch_yes;antibody_screening__dtt_crossmatch_yes_specificities;True;feature;latest
empfaenger_immunologie_hla_typing;hla_typing_enter_date;False;metadata;
empfaenger_immunologie_hla_typing;hla_typing_hla_phenotyping;False;feature;
empfaenger_immunologie_hla_typing;hla_typing_sampling_date;False;metadata;
empfaenger_immunologie_unacceptable_test;unacceptable_test_antigens_unacceptable;False;feature;
empfaenger_immunologie_unacceptable_test;unacceptable_test_donor_freq_etkas;False;feature;
empfaenger_immunologie_unacceptable_test;unacceptable_test_donor_freq_het;False;feature;
empfaenger_immunologie_unacceptable_test;unacceptable_test_enter_date;False;metadata;
empfaenger_immunologie_unacceptable_test;unacceptable_test_sampling_date;False;metadata;
empfaenger_immunologie_unacceptable_test;unacceptable_test_vpra_percent;False;feature;
empfaenger_virologie;cytomegalovirus_igg;False;feature;
empfaenger_virologie;cytomegalovirus_igm;False;feature;
empfaenger_virologie;enter_date;False;metadata;
empfaenger_virologie;epstein_barr_virus_igg;False;feature;
empfaenger_virologie;hepatitis_b_core_antibodies;False;feature;
empfaenger_virologie;hepatitis_b_immunized;False;feature;
empfaenger_virologie;hepatitis_b_surface_antibodies;False;feature;
empfaenger_virologie;hepatitis_b_surface_antigens;False;feature;
empfaenger_virologie;hepatitis_c_antibodies;False;feature;
empfaenger_virologie;hiv_antibodies;False;feature;
empfaenger_virologie;hiv_antigens;False;feature;
empfaenger_virologie;sampling_date;False;metadata;
empfaenger_virologie;syphilis;False;feature;
empfaenger_virologie;toxoplasmosis;False;feature;
followup_niere;acute_rejection;True;followup;keep
followup_niere;acute_rejection_date;True;followup;keep
followup_niere;acute_rejections_count;True;followup;keep
followup_niere;arterial_clot;False;followup;
followup_niere;artery_thrombosis;False;followup;
followup_niere;bleeding;False;followup;
followup_niere;blind_trial;True;followup;keep
followup_niere;cerebrovascular_problem;False;followup;
followup_niere;changed_immunosuppression;True;followup;keep
followup_niere;changed_immunosuppression_reason;True;followup;keep
followup_niere;chronic_hepatitis;False;followup;
followup_niere;chronic_obstructive_lung_disease;False;followup;
followup_niere;chronic_rejection;True;followup;keep
followup_niere;coronary_artery_disease;False;followup;
followup_niere;creatinine_umol_per_l;True;followup;keep
followup_niere;creatinine_unknown;False;followup;
followup_niere;date;True;followup;keep
followup_niere;death_date;True;followup;keep
followup_niere;death_reason;True;followup;keep
followup_niere;dehiscence;False;followup;
followup_niere;diabetes;False;followup;
followup_niere;dialysis;False;followup;
followup_niere;dialysis_after_operation_count;False;followup;
followup_niere;discharge_serum_creatinine_mg_per_dl;True;followup;max
followup_niere;discharge_weight_kg;False;followup;
followup_niere;duration_years;True;followup;keep
followup_niere;followup_type;True;followup;keep
followup_niere;graft_failure;True;followup;keep
followup_niere;graft_failure_date;True;followup;keep
followup_niere;graft_failure_reason;True;followup;keep
followup_niere;graft_function;False;followup;
followup_niere;graft_function_delayed;False;followup;
followup_niere;height_cm;True;followup;keep
followup_niere;hospitilization_date;False;followup;
followup_niere;hypertension;False;followup;
followup_niere;induction_therapy;False;followup;
followup_niere;last_dialysis_date;False;followup;
followup_niere;lymphocele;False;followup;
followup_niere;malgin;True;followup;keep
followup_niere;other_complications;False;followup;
followup_niere;other_diseases;False;followup;
followup_niere;other_transplant_diseases;True;followup;keep
followup_niere;patient_died;True;followup;keep
followup_niere;rejection;True;followup;keep
followup_niere;rejections_count;False;followup;
followup_niere;survey_type;True;followup;keep
followup_niere;treated_chronic_rejection;True;followup;keep
followup_niere;treated_chronic_rejections_count;True;followup;keep
followup_niere;trial_immunosuppressants;False;followup;
followup_niere;urine_leakage;False;followup;
followup_niere;vein_thrombosis;False;followup;
followup_niere;weight_kg;True;followup;keep
followup_niere;work_ability;False;followup;
followup_niere;wound_infection_present;False;followup;
followup_niere;wound_infection_type;False;followup;
followup_niere_medikation;date;True;followup;keep
followup_niere_medikation;immunosuppressant;True;followup;keep
followup_niere_medikation;immunosuppressant_details;True;followup;keep
organ_entnahme_niere;any_problems;False;feature;
organ_entnahme_niere;arterial_problems;False;feature;
organ_entnahme_niere;artery_patch;False;feature;
organ_entnahme_niere;backtable_flush;False;feature;
organ_entnahme_niere;backtable_flush_solution;False;feature;
organ_entnahme_niere;backtable_flush_solution_ml;False;feature;
organ_entnahme_niere;biopsy;False;metadata;
organ_entnahme_niere;cold_ischemia_time_min;False;feature;
organ_entnahme_niere;comment;False;metadata;
organ_entnahme_niere;crossclamp_date;False;feature;
organ_entnahme_niere;enbloc;False;feature;
organ_entnahme_niere;eval_date;False;metadata;
organ_entnahme_niere;eval_quality_organ;False;feature;
organ_entnahme_niere;heparin_date;False;feature;
organ_entnahme_niere;heparin_iu;False;feature;
organ_entnahme_niere;nephrectomy_date;False;feature;
organ_entnahme_niere;number_arteries;False;feature;
organ_entnahme_niere;number_bags;False;feature;
organ_entnahme_niere;number_ureter;False;feature;
organ_entnahme_niere;number_vein;False;feature;
organ_entnahme_niere;organ_quality;False;feature;
organ_entnahme_niere;perfusion_automatic;False;feature;
organ_entnahme_niere;perfusion_coldstart_date;False;feature;
organ_entnahme_niere;perfusion_quality;False;feature;
organ_entnahme_niere;perfusion_solution;False;feature;
organ_entnahme_niere;perfusion_volume_ml;False;feature;
organ_entnahme_niere;quality_assurance_organ_fozen;False;feature;
organ_entnahme_niere;quality_assurance_packaging_leaking;False;feature;
organ_entnahme_niere;quality_assurance_packaging_level;False;feature;
organ_entnahme_niere;quality_parenchyma;False;feature;
organ_entnahme_niere;reason_unusable;False;feature;
organ_entnahme_niere;removal_date;False;feature;
organ_entnahme_niere;reperfusion_color;False;feature;
organ_entnahme_niere;stitches_date;False;feature;
organ_entnahme_niere;transplant_organ;False;feature;
organ_entnahme_niere;ureter_length;False;feature;
organ_entnahme_niere;ureter_problems;False;feature;
